# Assembly name:  010_bin_OPU3_Golfo_Dulce
# Organism name:  Methylococcales bacterium OPU3_GD_OMZ (g-proteobacteria)
# Isolate:  OPU3_GD_OMZ
# Taxid:          1920888
# BioSample:      SAMN06045994
# BioProject:     PRJNA328797
# Submitter:      Georgia Institute of Technology
# Date:           2016-12-9
# Assembly type:  n/a
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    MPSY01
# Assembly method: SPAdes v. 3.7.0; Mixbin v. 2.1.1
# Expected final version: yes
# Reference guided assembly: de-novo
# Genome coverage: 71.0x
# Sequencing technology: Illumina MiSeq
# GenBank assembly accession: GCA_001901525.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001901535.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
NODE_375_length_24770_cov_6.50168_ID_2704550	unplaced-scaffold	na	na	MPSY01000017.1	<>	na	Primary Assembly	24770	na
NODE_3781_length_3737_cov_5.90657_ID_2724810	unplaced-scaffold	na	na	MPSY01000139.1	<>	na	Primary Assembly	3737	na
NODE_37877_length_967_cov_7.15351_ID_2801350	unplaced-scaffold	na	na	MPSY01000249.1	<>	na	Primary Assembly	967	na
NODE_38397_length_961_cov_7.71302_ID_2802443	unplaced-scaffold	na	na	MPSY01000250.1	<>	na	Primary Assembly	961	na
NODE_38584_length_959_cov_5.67478_ID_2802817	unplaced-scaffold	na	na	MPSY01000251.1	<>	na	Primary Assembly	959	na
NODE_3861_length_3674_cov_9.19177_ID_2727755	unplaced-scaffold	na	na	MPSY01000140.1	<>	na	Primary Assembly	3674	na
NODE_3877_length_3663_cov_4.5679_ID_2725118	unplaced-scaffold	na	na	MPSY01000141.1	<>	na	Primary Assembly	3663	na
NODE_3905_length_3646_cov_5.46282_ID_2757160	unplaced-scaffold	na	na	MPSY01000142.1	<>	na	Primary Assembly	3646	na
NODE_3921_length_3632_cov_8.43864_ID_3064050	unplaced-scaffold	na	na	MPSY01000143.1	<>	na	Primary Assembly	3632	na
NODE_39426_length_950_cov_6.49274_ID_2804551	unplaced-scaffold	na	na	MPSY01000252.1	<>	na	Primary Assembly	950	na
NODE_397_length_24048_cov_5.85308_ID_2709862	unplaced-scaffold	na	na	MPSY01000018.1	<>	na	Primary Assembly	24048	na
NODE_4060_length_3530_cov_6.9295_ID_3050788	unplaced-scaffold	na	na	MPSY01000144.1	<>	na	Primary Assembly	3530	na
NODE_41333_length_929_cov_8.59153_ID_2808404	unplaced-scaffold	na	na	MPSY01000253.1	<>	na	Primary Assembly	929	na
NODE_41575_length_927_cov_5.69495_ID_3064124	unplaced-scaffold	na	na	MPSY01000254.1	<>	na	Primary Assembly	927	na
NODE_41914_length_924_cov_7.72727_ID_2945937	unplaced-scaffold	na	na	MPSY01000255.1	<>	na	Primary Assembly	924	na
NODE_4203_length_3432_cov_8.2597_ID_2726206	unplaced-scaffold	na	na	MPSY01000145.1	<>	na	Primary Assembly	3432	na
NODE_42816_length_915_cov_4.25116_ID_2811389	unplaced-scaffold	na	na	MPSY01000256.1	<>	na	Primary Assembly	915	na
NODE_428_length_22883_cov_6.74422_ID_2711516	unplaced-scaffold	na	na	MPSY01000019.1	<>	na	Primary Assembly	22883	na
NODE_432_length_22700_cov_7.49901_ID_2705124	unplaced-scaffold	na	na	MPSY01000020.1	<>	na	Primary Assembly	22700	na
NODE_4395_length_3321_cov_6.17942_ID_2727661	unplaced-scaffold	na	na	MPSY01000146.1	<>	na	Primary Assembly	3321	na
NODE_4475_length_3276_cov_6.02608_ID_3070910	unplaced-scaffold	na	na	MPSY01000147.1	<>	na	Primary Assembly	3276	na
NODE_447_length_22275_cov_6.75761_ID_2705541	unplaced-scaffold	na	na	MPSY01000021.1	<>	na	Primary Assembly	22275	na
NODE_45735_length_889_cov_4.38729_ID_2817268	unplaced-scaffold	na	na	MPSY01000257.1	<>	na	Primary Assembly	889	na
NODE_4591_length_3215_cov_5.20443_ID_2727221	unplaced-scaffold	na	na	MPSY01000148.1	<>	na	Primary Assembly	3215	na
NODE_463_length_21745_cov_7.27201_ID_2713425	unplaced-scaffold	na	na	MPSY01000022.1	<>	na	Primary Assembly	21745	na
NODE_4657_length_3187_cov_8.95945_ID_2735442	unplaced-scaffold	na	na	MPSY01000149.1	<>	na	Primary Assembly	3187	na
NODE_487_length_21059_cov_7.45958_ID_2727231	unplaced-scaffold	na	na	MPSY01000023.1	<>	na	Primary Assembly	21059	na
NODE_49769_length_857_cov_5.66209_ID_2825498	unplaced-scaffold	na	na	MPSY01000258.1	<>	na	Primary Assembly	857	na
NODE_49912_length_855_cov_1.66875_ID_2825791	unplaced-scaffold	na	na	MPSY01000259.1	<>	na	Primary Assembly	855	na
NODE_506_length_20452_cov_6.81826_ID_2714536	unplaced-scaffold	na	na	MPSY01000024.1	<>	na	Primary Assembly	20452	na
NODE_52595_length_837_cov_4.33376_ID_2831241	unplaced-scaffold	na	na	MPSY01000260.1	<>	na	Primary Assembly	837	na
NODE_52602_length_837_cov_14.8453_ID_2874440	unplaced-scaffold	na	na	MPSY01000261.1	<>	na	Primary Assembly	837	na
NODE_53041_length_834_cov_15.9114_ID_2832127	unplaced-scaffold	na	na	MPSY01000262.1	<>	na	Primary Assembly	834	na
NODE_5307_length_2890_cov_4.44974_ID_2729393	unplaced-scaffold	na	na	MPSY01000150.1	<>	na	Primary Assembly	2890	na
NODE_53882_length_828_cov_6.16559_ID_2833843	unplaced-scaffold	na	na	MPSY01000263.1	<>	na	Primary Assembly	828	na
NODE_54618_length_823_cov_4.38411_ID_2835352	unplaced-scaffold	na	na	MPSY01000264.1	<>	na	Primary Assembly	823	na
NODE_559_length_19211_cov_6.48319_ID_2711093	unplaced-scaffold	na	na	MPSY01000025.1	<>	na	Primary Assembly	19211	na
NODE_56771_length_810_cov_9.26358_ID_2839693	unplaced-scaffold	na	na	MPSY01000265.1	<>	na	Primary Assembly	810	na
NODE_5695_length_2727_cov_6.74177_ID_2730676	unplaced-scaffold	na	na	MPSY01000151.1	<>	na	Primary Assembly	2727	na
NODE_57042_length_808_cov_2.30279_ID_2840241	unplaced-scaffold	na	na	MPSY01000266.1	<>	na	Primary Assembly	808	na
NODE_5704_length_2724_cov_6.02098_ID_2730700	unplaced-scaffold	na	na	MPSY01000152.1	<>	na	Primary Assembly	2724	na
NODE_5754_length_2709_cov_4.82969_ID_2762031	unplaced-scaffold	na	na	MPSY01000153.1	<>	na	Primary Assembly	2709	na
NODE_576_length_18988_cov_6.83056_ID_2712609	unplaced-scaffold	na	na	MPSY01000026.1	<>	na	Primary Assembly	18988	na
NODE_580_length_18882_cov_6.90715_ID_2707803	unplaced-scaffold	na	na	MPSY01000027.1	<>	na	Primary Assembly	18882	na
NODE_5811_length_2689_cov_6.05201_ID_3054326	unplaced-scaffold	na	na	MPSY01000154.1	<>	na	Primary Assembly	2689	na
NODE_583_length_18847_cov_6.32019_ID_2757981	unplaced-scaffold	na	na	MPSY01000028.1	<>	na	Primary Assembly	18847	na
NODE_58438_length_800_cov_3.64161_ID_2843048	unplaced-scaffold	na	na	MPSY01000267.1	<>	na	Primary Assembly	800	na
NODE_59291_length_795_cov_3.61486_ID_2844771	unplaced-scaffold	na	na	MPSY01000268.1	<>	na	Primary Assembly	795	na
NODE_592_length_18654_cov_7.44035_ID_2707258	unplaced-scaffold	na	na	MPSY01000029.1	<>	na	Primary Assembly	18654	na
NODE_5974_length_2641_cov_8.41183_ID_2731443	unplaced-scaffold	na	na	MPSY01000155.1	<>	na	Primary Assembly	2641	na
NODE_60042_length_790_cov_3.66667_ID_2846370	unplaced-scaffold	na	na	MPSY01000269.1	<>	na	Primary Assembly	790	na
NODE_612_length_18266_cov_7.43122_ID_2711859	unplaced-scaffold	na	na	MPSY01000030.1	<>	na	Primary Assembly	18266	na
NODE_6184_length_2576_cov_8.06704_ID_3423607	unplaced-scaffold	na	na	MPSY01000156.1	<>	na	Primary Assembly	2576	na
NODE_618_length_18123_cov_6.96845_ID_2717334	unplaced-scaffold	na	na	MPSY01000031.1	<>	na	Primary Assembly	18123	na
NODE_62780_length_776_cov_1.78225_ID_2851896	unplaced-scaffold	na	na	MPSY01000270.1	<>	na	Primary Assembly	776	na
NODE_62994_length_775_cov_8.24444_ID_2852407	unplaced-scaffold	na	na	MPSY01000271.1	<>	na	Primary Assembly	775	na
NODE_631_length_17934_cov_6.08647_ID_2765860	unplaced-scaffold	na	na	MPSY01000032.1	<>	na	Primary Assembly	17934	na
NODE_63574_length_772_cov_6.37517_ID_2853559	unplaced-scaffold	na	na	MPSY01000272.1	<>	na	Primary Assembly	772	na
NODE_63666_length_771_cov_1.66341_ID_2853743	unplaced-scaffold	na	na	MPSY01000273.1	<>	na	Primary Assembly	771	na
NODE_6369_length_2521_cov_3.29927_ID_2732457	unplaced-scaffold	na	na	MPSY01000157.1	<>	na	Primary Assembly	2521	na
NODE_641_length_17778_cov_7.29329_ID_2729814	unplaced-scaffold	na	na	MPSY01000033.1	<>	na	Primary Assembly	17778	na
NODE_65903_length_760_cov_2.9844_ID_2858255	unplaced-scaffold	na	na	MPSY01000274.1	<>	na	Primary Assembly	760	na
NODE_67173_length_755_cov_6.17429_ID_2860810	unplaced-scaffold	na	na	MPSY01000275.1	<>	na	Primary Assembly	755	na
NODE_67184_length_755_cov_8.78571_ID_2860832	unplaced-scaffold	na	na	MPSY01000276.1	<>	na	Primary Assembly	755	na
NODE_67771_length_752_cov_2.14204_ID_2862007	unplaced-scaffold	na	na	MPSY01000277.1	<>	na	Primary Assembly	752	na
NODE_6786_length_2409_cov_14.1593_ID_2738548	unplaced-scaffold	na	na	MPSY01000158.1	<>	na	Primary Assembly	2409	na
NODE_680_length_17448_cov_5.85902_ID_2718273	unplaced-scaffold	na	na	MPSY01000034.1	<>	na	Primary Assembly	17448	na
NODE_68528_length_748_cov_4.45887_ID_2863519	unplaced-scaffold	na	na	MPSY01000278.1	<>	na	Primary Assembly	748	na
NODE_6869_length_2386_cov_16.2132_ID_3423341	unplaced-scaffold	na	na	MPSY01000159.1	<>	na	Primary Assembly	2386	na
NODE_6906_length_2378_cov_5.41111_ID_2734165	unplaced-scaffold	na	na	MPSY01000160.1	<>	na	Primary Assembly	2378	na
NODE_69138_length_746_cov_6.11867_ID_2864741	unplaced-scaffold	na	na	MPSY01000279.1	<>	na	Primary Assembly	746	na
NODE_70891_length_738_cov_5.0937_ID_2868258	unplaced-scaffold	na	na	MPSY01000280.1	<>	na	Primary Assembly	738	na
NODE_7118_length_2330_cov_14.0659_ID_3423755	unplaced-scaffold	na	na	MPSY01000161.1	<>	na	Primary Assembly	2330	na
NODE_712_length_17175_cov_6.33131_ID_2714190	unplaced-scaffold	na	na	MPSY01000035.1	<>	na	Primary Assembly	17175	na
NODE_7147_length_2322_cov_3.69034_ID_2734848	unplaced-scaffold	na	na	MPSY01000162.1	<>	na	Primary Assembly	2322	na
NODE_717_length_17153_cov_7.734_ID_3076478	unplaced-scaffold	na	na	MPSY01000036.1	<>	na	Primary Assembly	17153	na
NODE_7198_length_2311_cov_9.47917_ID_2735166	unplaced-scaffold	na	na	MPSY01000163.1	<>	na	Primary Assembly	2311	na
NODE_7216_length_2306_cov_3.0773_ID_2735028	unplaced-scaffold	na	na	MPSY01000164.1	<>	na	Primary Assembly	2306	na
NODE_731_length_16964_cov_6.91626_ID_2715445	unplaced-scaffold	na	na	MPSY01000037.1	<>	na	Primary Assembly	16964	na
NODE_7354_length_2277_cov_6.27813_ID_2735485	unplaced-scaffold	na	na	MPSY01000165.1	<>	na	Primary Assembly	2277	na
NODE_75648_length_718_cov_6.95777_ID_2877853	unplaced-scaffold	na	na	MPSY01000281.1	<>	na	Primary Assembly	718	na
NODE_759_length_16752_cov_6.95119_ID_3084002	unplaced-scaffold	na	na	MPSY01000038.1	<>	na	Primary Assembly	16752	na
NODE_76216_length_715_cov_6.74545_ID_2878986	unplaced-scaffold	na	na	MPSY01000282.1	<>	na	Primary Assembly	715	na
NODE_7660_length_2214_cov_7.82446_ID_2736424	unplaced-scaffold	na	na	MPSY01000166.1	<>	na	Primary Assembly	2214	na
NODE_76861_length_713_cov_3.47568_ID_2880301	unplaced-scaffold	na	na	MPSY01000283.1	<>	na	Primary Assembly	713	na
NODE_7796_length_2187_cov_4.03612_ID_2736762	unplaced-scaffold	na	na	MPSY01000167.1	<>	na	Primary Assembly	2187	na
NODE_7824_length_2181_cov_4.09643_ID_2736829	unplaced-scaffold	na	na	MPSY01000168.1	<>	na	Primary Assembly	2181	na
NODE_78941_length_705_cov_4.52923_ID_2884480	unplaced-scaffold	na	na	MPSY01000284.1	<>	na	Primary Assembly	705	na
NODE_7956_length_2157_cov_5.3373_ID_3423677	unplaced-scaffold	na	na	MPSY01000169.1	<>	na	Primary Assembly	2157	na
NODE_7957_length_2157_cov_9.5138_ID_3084492	unplaced-scaffold	na	na	MPSY01000170.1	<>	na	Primary Assembly	2157	na
NODE_80191_length_700_cov_2.86512_ID_2886974	unplaced-scaffold	na	na	MPSY01000285.1	<>	na	Primary Assembly	700	na
NODE_80263_length_700_cov_17.0217_ID_2887119	unplaced-scaffold	na	na	MPSY01000286.1	<>	na	Primary Assembly	700	na
NODE_8352_length_2088_cov_3.82686_ID_2738339	unplaced-scaffold	na	na	MPSY01000171.1	<>	na	Primary Assembly	2088	na
NODE_86733_length_676_cov_7.7182_ID_2900132	unplaced-scaffold	na	na	MPSY01000287.1	<>	na	Primary Assembly	676	na
NODE_8831_length_2021_cov_9.59766_ID_2739652	unplaced-scaffold	na	na	MPSY01000172.1	<>	na	Primary Assembly	2021	na
NODE_90349_length_664_cov_14.0788_ID_3056378	unplaced-scaffold	na	na	MPSY01000288.1	<>	na	Primary Assembly	664	na
NODE_9151_length_1981_cov_8.79855_ID_2740124	unplaced-scaffold	na	na	MPSY01000173.1	<>	na	Primary Assembly	1981	na
NODE_915_length_15937_cov_7.75022_ID_2716507	unplaced-scaffold	na	na	MPSY01000039.1	<>	na	Primary Assembly	15937	na
NODE_91851_length_659_cov_7.24834_ID_2910439	unplaced-scaffold	na	na	MPSY01000289.1	<>	na	Primary Assembly	659	na
NODE_9233_length_1972_cov_5.74961_ID_3074500	unplaced-scaffold	na	na	MPSY01000174.1	<>	na	Primary Assembly	1972	na
NODE_92422_length_657_cov_16.0648_ID_2911593	unplaced-scaffold	na	na	MPSY01000290.1	<>	na	Primary Assembly	657	na
NODE_93356_length_654_cov_5.601_ID_2913563	unplaced-scaffold	na	na	MPSY01000291.1	<>	na	Primary Assembly	654	na
NODE_9401_length_1950_cov_4.7219_ID_2745170	unplaced-scaffold	na	na	MPSY01000175.1	<>	na	Primary Assembly	1950	na
NODE_941_length_15465_cov_6.60383_ID_3059630	unplaced-scaffold	na	na	MPSY01000040.1	<>	na	Primary Assembly	15465	na
NODE_9439_length_1946_cov_10.578_ID_2740822	unplaced-scaffold	na	na	MPSY01000176.1	<>	na	Primary Assembly	1946	na
NODE_94644_length_650_cov_3.19496_ID_2916211	unplaced-scaffold	na	na	MPSY01000292.1	<>	na	Primary Assembly	650	na
NODE_948_length_15334_cov_6.77754_ID_2724082	unplaced-scaffold	na	na	MPSY01000041.1	<>	na	Primary Assembly	15334	na
NODE_949_length_15311_cov_5.9844_ID_2722386	unplaced-scaffold	na	na	MPSY01000042.1	<>	na	Primary Assembly	15311	na
NODE_95630_length_647_cov_7.27365_ID_2918176	unplaced-scaffold	na	na	MPSY01000293.1	<>	na	Primary Assembly	647	na
NODE_9592_length_1928_cov_5.07581_ID_2741144	unplaced-scaffold	na	na	MPSY01000177.1	<>	na	Primary Assembly	1928	na
NODE_9609_length_1926_cov_3.48316_ID_2741178	unplaced-scaffold	na	na	MPSY01000178.1	<>	na	Primary Assembly	1926	na
NODE_96198_length_645_cov_7.07966_ID_2919310	unplaced-scaffold	na	na	MPSY01000294.1	<>	na	Primary Assembly	645	na
NODE_9786_length_1906_cov_4.45867_ID_2741572	unplaced-scaffold	na	na	MPSY01000179.1	<>	na	Primary Assembly	1906	na
NODE_97_length_53475_cov_7.08265_ID_2710117	unplaced-scaffold	na	na	MPSY01000002.1	<>	na	Primary Assembly	53475	na
NODE_9817_length_1901_cov_3.67226_ID_2741634	unplaced-scaffold	na	na	MPSY01000180.1	<>	na	Primary Assembly	1901	na
NODE_985_length_14707_cov_6.76781_ID_2715383	unplaced-scaffold	na	na	MPSY01000043.1	<>	na	Primary Assembly	14707	na
NODE_9873_length_1895_cov_9.32554_ID_2741768	unplaced-scaffold	na	na	MPSY01000181.1	<>	na	Primary Assembly	1895	na
NODE_987_length_14688_cov_6.19928_ID_2716135	unplaced-scaffold	na	na	MPSY01000044.1	<>	na	Primary Assembly	14688	na
